asn,asn_org,events,unique_ips,honeypots,pct_of_total
51167.0,Contabo GmbH,966740,82,5,35.32
47890.0,Unmanaged Ltd,283701,26,4,10.37
197170.0,TechTies Inc.,151486,91,5,5.53
14061.0,"DigitalOcean, LLC",130677,460,4,4.77
208137.0,Feo Prest SRL,122061,13,4,4.46
201814.0,MEVSPACE sp. z o.o.,102562,12,4,3.75
47154.0,Husam A. H. Hijazi,74512,15,1,2.72
214159.0,UAB Cherry Servers,66174,3,3,2.42
16276.0,OVH SAS,53716,118,5,1.96
198364.0,Banatsync Srl,52099,21,2,1.9
396073.0,"Majestic Hosting Solutions, LLC",43308,4,2,1.58
213737.0,Ayosoft Ltd,41328,1,2,1.51
23470.0,ReliableSite.Net LLC,36447,18,3,1.33
8560.0,IONOS SE,31575,28,4,1.15
132203.0,"Tencent Building, Kejizhongyi Avenue",27433,416,4,1.0
36352.0,HostPapa,21120,52,5,0.77
,,21077,38,3,0.77
135905.0,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,19865,18,3,0.73
58497.0,PT Integra Ventura,19463,1,2,0.71
29802.0,"HIVELOCITY, Inc.",16721,13,3,0.61
37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",16612,113,4,0.61
396982.0,Google LLC,16103,2108,4,0.59
210356.0,BattleHost,12940,12,3,0.47
210558.0,1337 Services GmbH,12138,12,2,0.44
17858.0,LG POWERCOMM,12123,5,3,0.44
45102.0,"Alibaba (US) Technology Co., Ltd.",11996,453,5,0.44
48090.0,Techoff Srv Limited,11645,23,3,0.43
3786.0,LG DACOM Corporation,10026,7,4,0.37
4837.0,CHINA UNICOM China169 Backbone,9998,139,5,0.37
197540.0,netcup GmbH,9591,10,3,0.35
51852.0,Private Layer INC,9566,1,1,0.35
24547.0,Hebei Mobile Communication Company Limited,9395,166,3,0.34
9541.0,Cyber Internet Services (Pvt) Ltd.,8980,95,2,0.33
206119.0,Veganet Teknolojileri ve Hizmetleri LTD STI,8593,1,3,0.31
24757.0,Ethio Telecom,8218,8,3,0.3
4766.0,Korea Telecom,7898,40,4,0.29
3462.0,Data Communication Business Group,7581,23,4,0.28
14956.0,RouterHosting LLC,7032,32,4,0.26
137695.0,CHINATELECOM Xinjiang Wulumuqi MAN network,6865,1,2,0.25
2914.0,"NTT America, Inc.",6387,2,2,0.23
135377.0,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,6362,203,4,0.23
37284.0,Aljeel Aljadeed For Technology,6205,2,2,0.23
174.0,"Cogent Communications, LLC",6170,6,3,0.23
267784.0,Flyservers S.A.,5548,2,2,0.2
213186.0,Yanoor Islam Khan,5520,2,3,0.2
49683.0,Massivegrid Ltd,5364,56,2,0.2
2860.0,"Nos Comunicacoes, S.A.",5022,2,3,0.18
8075.0,Microsoft Corporation,4718,800,4,0.17
6939.0,Hurricane Electric LLC,4543,219,3,0.17
63949.0,Akamai Connected Cloud,4332,259,4,0.16
202412.0,Omegatech LTD,4204,19,4,0.15
49870.0,Alsycon B.V.,4060,18,4,0.15
3549.0,"Level 3 Parent, LLC",3756,4,4,0.14
9808.0,"China Mobile Communications Group Co., Ltd.",3738,41,3,0.14
396356.0,Latitude.sh,3653,13,3,0.13
219502.0,Storm Industries LLC,3504,29,3,0.13
976.0,CoreNET Inc.,3448,5,2,0.13
152194.0,CTG Server Limited,3384,9,2,0.12
11915.0,TPx Communications,3323,1,2,0.12
24835.0,Vodafone Data,3246,4,2,0.12
399077.0,Tcloudnet,2939,4,2,0.11
149098.0,VIETNAM DIGITAL INFRASTRUCTURE JOINT STOCK COMPANY,2711,1,2,0.1
44589.0,Digital Network S.r.l.,2697,3,3,0.1
45899.0,VNPT Corp,2559,35,3,0.09
211183.0,AdminVPS OOO,2538,6,2,0.09
268624.0,Gamers Club Ltda,2327,4,2,0.09
132165.0,Connect Communications,2270,4,3,0.08
202520.0,SkyPass Solutions Sp. z.o.o.,1940,2,3,0.07
196645.0,Hostpro Lab LLC,1926,3,1,0.07
40065.0,CNSERVERS LLC,1907,3,2,0.07
213790.0,Limited Network LTD,1904,13,3,0.07
16509.0,"Amazon.com, Inc.",1812,62,4,0.07
209641.0,Ihor Hosting Ltd,1775,1,2,0.06
979.0,NetLab Global,1770,2,2,0.06
206996.0,ZAP-Hosting GmbH,1767,2,2,0.06
203273.0,NetCrafters OU,1731,2,2,0.06
26496.0,"GoDaddy.com, LLC",1683,7,4,0.06
27947.0,Telconet S.A,1624,2,2,0.06
19318.0,"Interserver, Inc",1512,9,3,0.06
201106.0,Spartan Host Ltd,1489,3,2,0.05
40021.0,Contabo Inc.,1463,12,2,0.05
61272.0,UAB Bacloud,1451,1,2,0.05
398324.0,"Censys, Inc.",1402,201,4,0.05
137409.0,GSL Networks Pty LTD,1320,5,3,0.05
