country,events,pct
United States,656852,37.48
Bulgaria,141862,8.1
Taiwan,130900,7.47
Poland,113425,6.47
Philippines,76110,4.34
Sweden,66266,3.78
Germany,55990,3.19
China,54308,3.1
Ukraine,47256,2.7
Singapore,44335,2.53
The Netherlands,41934,2.39
France,35820,2.04
South Korea,35106,2.0
Vietnam,30958,1.77
Indonesia,26066,1.49
Brazil,18941,1.08
Pakistan,17356,0.99
Romania,17195,0.98
United Kingdom,14743,0.84
Hong Kong,13417,0.77
Switzerland,9741,0.56
Belgium,9181,0.52
Türkiye,9071,0.52
Ethiopia,8218,0.47
Russia,7962,0.45
Libya,6227,0.36
Panama,5805,0.33
Portugal,5736,0.33
Thailand,5257,0.3
Argentina,5004,0.29
Japan,4708,0.27
Seychelles,4424,0.25
India,3810,0.22
Egypt,3792,0.22
Canada,2436,0.14
United Arab Emirates,2393,0.14
Bangladesh,1964,0.11
Malaysia,1946,0.11
Ecuador,1857,0.11
Slovakia,1293,0.07
Ireland,1262,0.07
Italy,1119,0.06
Peru,1117,0.06
Kenya,862,0.05
Iran,795,0.05
Moldova,793,0.05
Chile,606,0.03
Australia,525,0.03
Bolivia,390,0.02
Norway,368,0.02
Lithuania,364,0.02
Sri Lanka,357,0.02
Mexico,353,0.02
South Africa,298,0.02
Greece,273,0.02
Finland,271,0.02
Spain,203,0.01
Uzbekistan,167,0.01
Armenia,156,0.01
Yemen,151,0.01
Madagascar,141,0.01
Nigeria,113,0.01
Colombia,109,0.01
Myanmar,103,0.01
Slovenia,99,0.01
Georgia,78,0.0
Sudan,78,0.0
Tunisia,74,0.0
Paraguay,70,0.0
Estonia,68,0.0
Mozambique,65,0.0
Kazakhstan,62,0.0
Venezuela,62,0.0
Cameroon,54,0.0
Austria,53,0.0
Puerto Rico,44,0.0
Mongolia,43,0.0
Algeria,42,0.0
Nepal,41,0.0
Israel,40,0.0
Azerbaijan,35,0.0
Malawi,34,0.0
Dominican Republic,34,0.0
Cambodia,32,0.0
Uganda,30,0.0
Morocco,29,0.0
Latvia,29,0.0
Hungary,28,0.0
Saudi Arabia,25,0.0
Bahamas,21,0.0
Cyprus,21,0.0
Eritrea,21,0.0
Zimbabwe,21,0.0
Croatia,21,0.0
Belarus,20,0.0
Brunei,20,0.0
Albania,19,0.0
Luxembourg,19,0.0
Palestine,18,0.0
French Guiana,16,0.0
Ghana,16,0.0
New Zealand,16,0.0
Senegal,16,0.0
Belize,15,0.0
Macao,15,0.0
Czechia,15,0.0
Laos,15,0.0
Uruguay,14,0.0
Burkina Faso,14,0.0
Bhutan,14,0.0
Iraq,12,0.0
North Macedonia,12,0.0
Denmark,12,0.0
Montenegro,11,0.0
Bosnia and Herzegovina,11,0.0
Cuba,11,0.0
U.S. Virgin Islands,11,0.0
Honduras,10,0.0
Iceland,10,0.0
Mauritania,10,0.0
Togo,10,0.0
Costa Rica,10,0.0
Serbia,9,0.0
Lebanon,9,0.0
Malta,9,0.0
Nicaragua,9,0.0
Guadeloupe,8,0.0
Andorra,8,0.0
Réunion,8,0.0
Gambia,8,0.0
Botswana,6,0.0
Burundi,6,0.0
Congo (DRC),6,0.0
Jordan,4,0.0
French Polynesia,4,0.0
Kyrgyzstan,4,0.0
Jamaica,4,0.0
El Salvador,4,0.0
Guyana,4,0.0
Syria,4,0.0
Martinique,4,0.0
Greenland,3,0.0
Bahrain,2,0.0
Namibia,2,0.0
Haiti,2,0.0
Ivory Coast,2,0.0
Congo Republic,2,0.0
Oman,2,0.0
Afghanistan,1,0.0
Equatorial Guinea,1,0.0
Guatemala,1,0.0
Mali,1,0.0
Kosovo,1,0.0
Qatar,1,0.0
Tajikistan,1,0.0
