country,events,unique_ips,pct_of_total
France,960002,358,35.07
United States,656852,4941,24.0
Bulgaria,141862,85,5.18
Taiwan,130900,49,4.78
Poland,113425,46,4.14
Germany,98251,467,3.59
Philippines,76110,61,2.78
Sweden,66266,31,2.42
China,54308,904,1.98
Ukraine,47256,238,1.73
Singapore,44335,393,1.62
The Netherlands,41934,254,1.53
South Korea,35106,117,1.28
Vietnam,30958,151,1.13
Indonesia,26066,169,0.95
Brazil,18941,284,0.69
,17832,38,0.65
Pakistan,17356,229,0.63
Romania,17195,34,0.63
United Kingdom,15040,661,0.55
Hong Kong,13417,214,0.49
Switzerland,9741,27,0.36
Belgium,9181,233,0.34
Türkiye,9071,48,0.33
Ethiopia,8218,8,0.3
Russia,7962,237,0.29
Libya,6227,4,0.23
Panama,5805,14,0.21
Portugal,5736,194,0.21
Thailand,5257,62,0.19
Argentina,5004,267,0.18
Japan,4708,133,0.17
Seychelles,4424,31,0.16
India,3810,163,0.14
Egypt,3792,39,0.14
Canada,2436,147,0.09
United Arab Emirates,2393,44,0.09
Bangladesh,1964,42,0.07
Malaysia,1946,68,0.07
Ecuador,1857,23,0.07
Slovakia,1293,6,0.05
Ireland,1262,18,0.05
Italy,1119,51,0.04
Peru,1117,12,0.04
Kenya,862,12,0.03
Iran,795,39,0.03
Moldova,793,10,0.03
Chile,606,43,0.02
Australia,525,49,0.02
Bolivia,390,15,0.01
Norway,368,10,0.01
Lithuania,364,12,0.01
Sri Lanka,357,9,0.01
Mexico,353,73,0.01
South Africa,298,26,0.01
Greece,273,10,0.01
Finland,271,25,0.01
Spain,203,44,0.01
Uzbekistan,167,39,0.01
Armenia,156,15,0.01
Yemen,151,1,0.01
Madagascar,141,3,0.01
Nigeria,113,20,0.0
Colombia,109,38,0.0
Myanmar,103,24,0.0
Slovenia,99,34,0.0
Sudan,78,1,0.0
Georgia,78,6,0.0
Tunisia,74,12,0.0
Paraguay,70,10,0.0
Estonia,68,9,0.0
Mozambique,65,4,0.0
Venezuela,62,15,0.0
Kazakhstan,62,20,0.0
Cameroon,54,2,0.0
Austria,53,12,0.0
Puerto Rico,44,11,0.0
Mongolia,43,6,0.0
Algeria,42,11,0.0
Nepal,41,11,0.0
Israel,40,12,0.0
Azerbaijan,35,9,0.0
Malawi,34,2,0.0
Dominican Republic,34,5,0.0
Cambodia,32,12,0.0
Uganda,30,1,0.0
Morocco,29,12,0.0
Latvia,29,13,0.0
Hungary,28,10,0.0
Saudi Arabia,25,8,0.0
Bahamas,21,6,0.0
Cyprus,21,10,0.0
Eritrea,21,1,0.0
Croatia,21,10,0.0
Zimbabwe,21,1,0.0
Belarus,20,6,0.0
Brunei,20,4,0.0
Albania,19,12,0.0
Luxembourg,19,14,0.0
Palestine,18,6,0.0
Ghana,16,5,0.0
Senegal,16,3,0.0
French Guiana,16,2,0.0
New Zealand,16,10,0.0
Belize,15,4,0.0
Macao,15,11,0.0
Laos,15,4,0.0
Czechia,15,8,0.0
Uruguay,14,6,0.0
Burkina Faso,14,5,0.0
Bhutan,14,4,0.0
Iraq,12,3,0.0
Denmark,12,8,0.0
North Macedonia,12,5,0.0
U.S. Virgin Islands,11,1,0.0
Bosnia and Herzegovina,11,3,0.0
Cuba,11,1,0.0
Montenegro,11,4,0.0
Costa Rica,10,4,0.0
Togo,10,4,0.0
Mauritania,10,2,0.0
Honduras,10,3,0.0
Iceland,10,7,0.0
Serbia,9,5,0.0
Lebanon,9,3,0.0
Nicaragua,9,2,0.0
Malta,9,4,0.0
Guadeloupe,8,2,0.0
Andorra,8,6,0.0
Gambia,8,1,0.0
Réunion,8,3,0.0
Botswana,6,1,0.0
Burundi,6,1,0.0
Congo (DRC),6,3,0.0
Guyana,4,2,0.0
French Polynesia,4,2,0.0
Jordan,4,2,0.0
Jamaica,4,1,0.0
Martinique,4,2,0.0
Kyrgyzstan,4,3,0.0
El Salvador,4,2,0.0
Syria,4,2,0.0
Greenland,3,3,0.0
Bahrain,2,2,0.0
Namibia,2,1,0.0
Haiti,2,1,0.0
Ivory Coast,2,1,0.0
Congo Republic,2,1,0.0
Oman,2,1,0.0
Afghanistan,1,1,0.0
Equatorial Guinea,1,1,0.0
Guatemala,1,1,0.0
Mali,1,1,0.0
Kosovo,1,1,0.0
Qatar,1,1,0.0
Tajikistan,1,1,0.0
