date,cowrie.client.fingerprint,cowrie.client.kex,cowrie.client.size,cowrie.client.var,cowrie.client.version,cowrie.command.failed,cowrie.command.input,cowrie.command.success,cowrie.log.closed,cowrie.login.failed,cowrie.login.success,cowrie.session.closed,cowrie.session.connect,cowrie.session.file_download,cowrie.session.file_download.failed,cowrie.session.file_upload,cowrie.session.params,cowrie.telnet.exploit_attempt,cowrie.telnet.option
2026-08-26,0,72,5,0,76,112,210,0,33,258,28,575,575,0,0,0,33,0,230
2026-08-27,0,2462,0,1,2481,97,261,0,38,2589,41,2880,2880,0,0,0,38,1,211
2026-08-28,1,605,0,0,665,123,285,2,45,731,33,1116,1116,0,0,3,45,0,269
2026-08-29,3,131,0,0,145,180,286,0,48,374,51,614,614,2,0,1,48,0,283
2026-08-30,5,188,0,2,193,125,211,0,31,402,41,737,737,2,0,0,31,2,219
2026-08-31,2,1127,0,1,1134,159,368,0,64,1375,71,1751,1752,0,0,8,64,1,266
2026-09-01,0,2834,0,2,2846,184,374,0,79,3133,80,3353,3352,4,0,0,79,2,329
2026-09-02,0,1224,0,2,1281,186,322,0,49,1451,53,1868,1868,2,0,0,49,2,320
2026-09-03,3,175,0,6,192,90,147,0,43,286,45,542,542,2,0,14,43,6,100
2026-09-04,0,1755,0,3,1767,217,375,0,54,2243,66,2669,2671,4,0,0,54,3,443
2026-09-05,0,4331,5,4,4447,133,282,0,69,4585,78,5015,5014,4,0,2,71,4,291
2026-09-06,0,4041,1,5,4067,106,189,0,64,4216,67,4609,4608,2,0,0,64,5,189
2026-09-07,14,2684,0,13,3003,213,341,0,78,3194,90,3790,3790,5,1,9,78,3,458
2026-09-08,0,3377,5,2,3552,97,168,0,50,3467,54,4156,4156,0,0,14,51,2,55
2026-09-09,1,2030,0,1,2068,117,291,0,154,2131,160,2680,2680,0,0,0,154,1,183
2026-09-10,4,4505,0,0,4867,152,267,0,67,4899,82,5519,5519,0,0,9,67,0,342
2026-09-11,6,4026,0,3,4388,136,279,0,90,4323,74,5001,5001,2,0,8,90,3,268
2026-09-12,4,7108,0,0,7140,146,285,0,81,7396,78,8113,8113,2,0,9,81,0,268
2026-09-13,1,2843,0,0,3670,94,217,0,58,3103,65,4290,4290,10,2,1,58,0,188
2026-09-14,0,3157,0,1,4422,142,305,0,80,3683,82,4972,4972,8,4,4,80,1,177
2026-09-15,0,3324,0,0,5203,99,198,0,48,3686,58,5750,5751,4,2,0,48,0,282
