date,pop3s,postgresql,socks5,vnc
2026-08-26,0,3,65,0
2026-08-27,0,3,1572,2537
2026-08-28,0,12,204,511
2026-08-29,1,4,0,5294
2026-08-30,0,145,0,112776
2026-08-31,0,3,48,60914
2026-09-01,0,6,175,1656
2026-09-02,0,9,0,2725
2026-09-03,0,3,0,8598
2026-09-04,0,6,1,3016
2026-09-05,0,3,1,6130
2026-09-06,0,146,0,5225
2026-09-07,0,3,350,2834
2026-09-08,0,0,1,28703
2026-09-09,0,4,625,177584
2026-09-10,0,0,8,180357
2026-09-11,0,8,24,154449
2026-09-12,0,2,2,175784
2026-09-13,0,143,54,79340
2026-09-14,0,14,2,17513
2026-09-15,0,3,1,8417
