date,rdphoneypot.login,rdphoneypot.session.closed,rdphoneypot.session.connect
2026-08-26,0,771,771
2026-08-27,1,1990,1990
2026-08-28,11,3429,3439
2026-08-29,629,13128,13128
2026-08-30,606,13649,13663
2026-08-31,535,10150,10151
2026-09-01,472,10140,10147
2026-09-02,29027,38801,38797
2026-09-03,15244,19204,19201
2026-09-04,557,6134,6137
2026-09-05,11430,14471,14478
2026-09-06,12913,16305,16300
2026-09-07,3600,7164,7160
2026-09-08,4509,7367,7432
2026-09-09,2806,6789,7306
2026-09-10,5696,8625,9053
2026-09-11,3673,6644,6644
2026-09-12,3582,7434,7434
2026-09-13,5245,13019,13019
2026-09-14,13479,21126,20178
2026-09-15,6160,9063,9003
