username,attempts,unique_src,first_seen,last_seen
Administrator,36788,537,2026-08-28 23:36:57.111260+00:00,2026-09-15 17:19:46.349175+00:00
administrator,32716,7,2026-09-02 08:41:35.684876+00:00,2026-09-15 17:19:42.876586+00:00
,14107,5,2026-08-28 20:29:36.146195+00:00,2026-09-15 17:18:00.053216+00:00
root,1599,2,2026-09-02 21:18:50.007668+00:00,2026-09-09 03:20:30.942602+00:00
admin,1161,3,2026-09-02 08:41:35.043434+00:00,2026-09-15 17:17:25.178279+00:00
azureadmin,1120,1,2026-09-13 04:13:15.171053+00:00,2026-09-15 01:52:24.490084+00:00
azureuser,1118,1,2026-09-13 04:16:13.945087+00:00,2026-09-15 01:51:49.870573+00:00
adminuser,1118,1,2026-09-13 04:11:44.560837+00:00,2026-09-15 01:52:34.720603+00:00
user,229,3,2026-09-02 14:32:50.245240+00:00,2026-09-15 16:57:49.518282+00:00
server,205,2,2026-09-02 14:32:50.386989+00:00,2026-09-15 16:57:49.443692+00:00
buh,150,3,2026-09-02 21:18:50.188092+00:00,2026-09-15 16:57:49.438594+00:00
sklad,150,3,2026-09-02 21:18:49.671560+00:00,2026-09-15 16:57:49.514121+00:00
user1,132,3,2026-09-02 21:18:49.853795+00:00,2026-09-15 16:57:49.480089+00:00
manager,118,2,2026-09-08 14:30:38.952744+00:00,2026-09-15 16:57:49.503811+00:00
user2,113,2,2026-09-14 07:15:58.719309+00:00,2026-09-15 16:57:49.458073+00:00
admin1,113,2,2026-09-02 21:18:50.192589+00:00,2026-09-15 16:57:49.418186+00:00
Admin,113,2,2026-09-14 07:15:48.919507+00:00,2026-09-15 16:57:49.536571+00:00
system,98,1,2026-09-02 14:32:50.737956+00:00,2026-09-02 20:44:59.914047+00:00
defaultaccount,98,1,2026-09-02 14:32:50.012712+00:00,2026-09-02 20:44:59.520919+00:00
wdagutilityaccount,97,1,2026-09-02 14:32:49.849409+00:00,2026-09-02 20:44:59.648973+00:00
scanner,92,1,2026-09-14 16:03:48.152014+00:00,2026-09-15 16:57:49.509326+00:00
admin2,92,1,2026-09-14 16:03:48.255188+00:00,2026-09-15 16:57:49.530803+00:00
administrador,92,1,2026-09-14 16:03:48.159425+00:00,2026-09-15 16:57:49.484578+00:00
administrateur,92,1,2026-09-14 16:03:48.182167+00:00,2026-09-15 16:57:49.526585+00:00
usuario,92,1,2026-09-14 16:03:48.201835+00:00,2026-09-15 16:57:49.452940+00:00
utente,92,1,2026-09-14 16:03:48.172710+00:00,2026-09-15 16:57:49.448035+00:00
scan,92,1,2026-09-14 16:03:48.156138+00:00,2026-09-15 16:57:49.463444+00:00
