called_number,attempts,unique_src
+12548044501,13164,1
00442037699931,9011,15
+442037699931,8846,15
000442037699931,8832,13
011442037699931,8821,14
442037699931,8040,13
0021442037699931,8018,10
900442037699931,8017,13
002442037699931,8016,11
asterisk,5689,3
12548044501,4486,1
+12892271019,3739,1
00112892271019,3738,1
90012892271019,3737,1
981012892271019,3737,1
00012892271019,3737,1
00912892271019,3736,1
001112892271019,3736,1
0012892271019,3736,1
81012892271019,3735,1
00712892271019,3733,1
900712892271019,3732,1
900912892271019,3732,1
900112892271019,3731,1
00358454900767,1846,2
16893360048,1612,1
0014063890227,1164,4
00390690282922,966,1
913862893067,735,2
813862893067,730,2
713862893067,727,2
+18634854008,725,1
10000,713,12
100,668,103
011442037695348,534,1
00442037695348,530,1
9011442037695348,529,1
NOT_FOUND,526,68
9011442037695556,526,1
00442037695556,526,1
011442037695556,524,1
1000,490,35
13862893067,417,2
0018307227027,415,1
914063890227,364,3
+14063890227,352,3
9914063890227,351,3
014063890227,351,3
14063890227,351,3
814063890227,347,3
9014063890227,346,3
901114063890227,344,2
01114063890227,343,2
12014645702,338,1
00525598160169,299,12
201,269,14
00097223802571,266,1
90097223802569,261,1
+525598160169,252,12
301,234,10
401,226,10
501,225,10
101,205,16
000525598160169,205,11
601,204,9
801,200,9
701,200,9
901,195,9
00442039962635,191,1
525598160169,189,9
1001,188,20
011525598160169,184,11
900525598160169,168,9
200,158,17
0033756758573,158,2
0016304804924,156,2
90016304804924,155,1
+16304804924,154,1
90033756758573,153,2
+33756758573,153,1
16304804924,153,2
00016304804924,152,1
901116304804924,152,1
00033756758573,151,2
01116304804924,151,1
01133756758573,151,2
80016304804924,151,1
002525598160169,148,8
2000,134,13
18632018802,132,1
0021525598160169,132,6
4010,131,6
1010,131,8
2001,123,12
300,122,11
2010,119,6
0011442080890174,118,1
00442080890174,118,1
011442080890174,118,1
+442080890174,118,1
442080890174,118,1
3010,118,5
5010,117,5
6010,117,5
9010,117,5
002442080890174,117,1
8010,117,5
005442080890174,116,1
009442080890174,116,1
010442080890174,116,1
001442080890174,116,1
11,116,9
810442080890174,116,1
000442080890174,116,1
7010,116,5
0014442080890174,116,1
10,113,9
00442080890180,110,1
442080890180,110,1
011442080890180,109,1
0014442080890180,109,1
0011442080890180,109,1
005442080890180,109,1
,109,27
810442080890180,109,1
009442080890180,108,1
+442080890180,108,1
3001,108,10
000442080890180,107,1
010442080890180,107,1
001442080890180,107,1
003903311705011,107,1
002442080890180,107,1
00003903311705011,106,1
4001,106,10
0023903311705011,106,1
8103903311705011,106,1
17909003903311705011,106,1
0113903311705011,106,1
011442037698635,106,1
+3903311705011,106,1
90113903311705011,106,1
001442037699931,106,11
98103903311705011,106,1
9011442037698635,106,1
0093903311705011,106,1
93903311705011,106,1
500,106,10
00023903311705011,106,1
0003903311705011,106,1
9003903311705011,106,1
3903311705011,106,1
012442037699931,106,12
000113903311705011,105,1
0103903311705011,105,1
001003903311705011,105,1
0013903311705011,105,1
00442037698635,105,1
4000,105,10
00113903311705011,105,1
0073903311705011,105,1
400,105,10
0011442037699931,104,11
3000,102,10
9011442037693680,101,1
011442037693680,101,1
9900442037699931,99,10
9011442037699931,98,10
00442037693680,97,1
01148525223031,94,1
048525223031,94,1
48525223031,94,1
81048525223031,94,1
00948525223031,94,1
90048525223031,94,1
00148525223031,94,1
981048525223031,94,1
901148525223031,94,1
+48525223031,94,1
80048525223031,94,1
00248525223031,93,1
00048525223031,93,1
900148525223031,93,1
01048525223031,93,1
0048525223031,93,1
010442037699931,93,11
002148525223031,92,1
5000,92,10
100442037699931,91,10
9001,91,9
10442037699931,90,10
7001,89,9
6001,89,9
90442037699931,88,10
1000442037699931,88,10
8001,87,9
0031442037699931,86,10
5001,85,9
800,85,9
1002,85,7
600,85,9
810442037699931,84,10
9000442037699931,84,10
0000442037699931,84,10
700,83,9
900,82,9
0041442037699931,82,10
8000,81,9
6000,80,9
111,80,10
9011441904911184,79,1
7000,79,9
00441904911184,79,1
011441904911184,79,1
9000,78,9
003442037699931,76,10
0015442037699931,75,10
555,73,8
004442037699931,72,10
222,71,10
00.442037699931,70,9
+442039966756,70,2
333,69,8
005442037699931,68,10
442080890184,68,2
007442037699931,68,10
777,68,8
008442037699931,68,9
009442037699931,68,10
442080890178,67,1
666,67,8
888,67,8
006442037699931,67,9
999,67,8
444,66,8
005442080890184,65,2
00442080890178,65,1
002442080890184,65,2
009442080890184,65,2
00442080890184,65,2
010442080890184,65,2
+442080890178,65,1
12300442037699931,65,8
+442080890184,65,2
011442080890178,65,1
011442080890184,65,2
0011442080890178,65,1
000442080890184,65,2
001442080890184,65,2
0014442080890184,64,2
0011442080890184,64,2
9001442037699931,64,8
810442080890184,64,2
001442080890178,63,1
010442080890178,63,1
000442080890178,63,1
810442080890178,63,1
005442080890178,63,1
0014442080890178,63,1
00+442037699931,63,8
002442080890178,62,1
009442080890178,62,1
+19103385022,60,2
33,59,8
0019103385022,59,2
90019103385022,59,2
9442037699931,58,8
1442037699931,57,7
0442037699931,57,8
22,55,8
99,55,8
test.echo,55,51
00442039966756,54,2
20,53,8
001525598160169,53,7
011+442037699931,52,8
999442039966874,51,1
32100442037699931,51,8
011.442037699931,51,7
0011525598160169,48,7
90000442037699931,48,6
011972598112101,47,1
1003,47,8
19412013010,47,2
2222,47,11
0900442037699931,47,6
12548044505,47,2
1111,47,10
+972598112101,46,1
9011972598112101,46,1
44,46,8
55,46,8
66,45,8
-972598112101,45,1
88,45,8
919412013010,45,2
8442037699931,45,7
60,45,8
77,45,8
8011972598112101,44,1
972598112101,44,1
0051442037699931,44,7
6666,43,8
8888,43,8
0014442037699931,43,7
7777,43,8
3333,43,8
4444,43,8
30,43,8
5555,43,8
99000442037699931,42,6
5011972598112101,42,1
3011972598112101,42,1
40,42,8
0043442037699931,42,7
4011972598112101,42,1
50,42,8
7011972598112101,42,1
$442037699931,42,6
+19412013010,42,2
22000442037699931,42,6
6011972598112101,42,1
9999,42,8
11000442037699931,42,6
110,41,9
0011972598112101,41,1
+011972598112101,41,1
990011972598112101,41,1
80,41,8
102,41,8
+0011972598112101,41,1
0010442037699931,41,7
00100442037699931,41,6
90011972598112101,41,1
63011972598112101,41,1
00900442037699931,41,6
900000011972598112101,41,1
00011972598112101,41,1
900011972598112101,41,1
74011972598112101,41,1
0099442037699931,41,6
1011972598112101,41,1
2011972598112101,41,1
910011972598112101,41,1
9000000011972598112101,41,1
90,41,8
70,41,8
980011972598112101,41,1
9000011972598112101,41,1
33000442037699931,41,6
76011972598112101,41,1
61011972598112101,41,1
00200442037699931,41,6
960011972598112101,41,1
9800011972598112101,41,1
0023442037699931,40,6
988011972598112101,40,1
9666011972598112101,40,1
989796011972598112101,40,1
0019412013010,40,2
977011972598112101,40,1
0090442037699931,40,6
0000011972598112101,40,1
00021442037699931,40,6
9996011972598112101,40,1
9777011972598112101,40,1
000011972598112101,40,1
99996011972598112101,40,1
966011972598112101,40,1
68011972598112101,40,1
9888011972598112101,40,1
999011972598112101,39,1
00000000011972598112101,39,1
000000011972598112101,39,1
99011972598112101,39,1
0000000011972598112101,39,1
30000442037699931,39,6
9999011972598112101,39,1
999999011972598112101,38,1
9999999011972598112101,38,1
0025442037699931,38,6
99999011972598112101,38,1
99999999011972598112101,38,1
15,38,6
210,38,8
999999999011972598112101,38,1
009011972598112101,37,1
2001011972598112101,37,1
011011972598112101,37,1
993011972598112101,37,1
09011972598112101,37,1
6666011972598112101,37,1
9999999999011972598112101,37,1
120011972598112101,37,1
98011972598112101,37,1
95011972598112101,37,1
94011972598112101,37,1
.972598112101,37,1
997011972598112101,37,1
*972598112101,37,1
71011972598112101,37,1
010525598160169,37,5
81011972598112101,37,1
7777011972598112101,37,1
69011972598112101,37,1
*+011972598112101,37,1
992011972598112101,37,1
991011972598112101,37,1
92011972598112101,37,1
-011972598112101,37,1
10000442037699931,37,6
258011972598112101,37,1
96011972598112101,37,1
91011972598112101,37,1
97011972598112101,37,1
987011972598112101,37,1
994011972598112101,37,1
998011972598112101,37,1
1111011972598112101,37,1
93011972598112101,37,1
9011525598160169,37,5
64011972598112101,37,1
810525598160169,37,5
#972598112101,37,1
996011972598112101,37,1
995011972598112101,37,1
20000442037699931,37,6
9001011972598112101,37,1
8888011972598112101,37,1
123,37,9
90119011972598112101,36,1
0080011972598112101,36,1
963011972598112101,36,1
*011972598112101,36,1
13011972598112101,36,1
911011972598112101,36,1
12011972598112101,36,1
19011972598112101,36,1
020442037699931,36,6
400442037699931,36,6
00999442037699931,36,7
25011972598112101,36,1
17011972598112101,36,1
60000442037699931,36,6
125011972598112101,36,1
18011972598112101,36,1
4444011972598112101,35,1
951011972598112101,35,1
990990011972598112101,35,1
2025011972598112101,35,1
40000442037699931,35,5
99999999999011972598112101,35,1
5555011972598112101,35,1
3000011972598112101,35,1
4000442037699931,35,6
919293011972598112101,35,1
2222011972598112101,35,1
55000442037699931,35,6
700442037699931,35,6
5000442037699931,35,6
100011972598112101,35,1
990099011972598112101,35,1
1259011972598112101,35,1
9897011972598112101,35,1
80000442037699931,35,5
6000442037699931,35,6
16,35,4
90090011972598112101,35,1
066011972598112101,35,1
880088011972598112101,35,1
200011972598112101,35,1
00990011972598112101,35,1
209011972598112101,35,1
2026011972598112101,35,1
003525598160169,35,5
500442037699931,35,6
7000442037699931,35,6
600442037699931,35,6
99998011972598112101,35,1
9898011972598112101,35,1
099011972598112101,35,1
77011972598112101,35,1
70000442037699931,35,5
902011972598112101,35,1
3333011972598112101,35,1
66000442037699931,35,6
1005,34,6
0031525598160169,34,5
50000442037699931,34,5
44000442037699931,34,6
+442037699931;,34,6
8000442037699931,34,5
123011972598112101,34,1
3000442037699931,34,5
200442037699931,34,5
2000442037699931,34,5
9998011972598112101,34,1
66011972598112101,34,1
9991011972598112101,34,1
300011972598112101,34,1
300442037699931,34,5
321011972598112101,34,1
0041525598160169,34,5
0100442037699931,33,6
+18633234017,33,1
54011972598112101,33,1
800442037699931,33,5
49011972598112101,33,1
55011972598112101,33,1
019442037699931,33,5
9997011972598112101,33,1
56011972598112101,33,1
47011972598112101,33,1
50011972598112101,33,1
000442039962635,33,1
9900525598160169,33,5
103,33,8
52011972598112101,33,1
53011972598112101,33,1
0015525598160169,33,5
83011972598112101,32,1
1810421232229879,32,1
9005421232229879,32,1
+421232229879,32,1
65011972598112101,32,1
0015421232229879,32,1
90020421232229879,32,1
000421232229879,32,1
0000421232229879,32,1
011972567709447,32,1
00011421232229879,32,1
00442039969300,32,1
9011972567709447,32,1
810421232229879,32,1
019421232229879,32,1
9011421232229879,32,1
58011972598112101,32,1
002421232229879,32,1
9002421232229879,32,1
51011972598112101,32,1
00421232229879,32,1
011442039962635,32,1
0020421232229879,32,1
0011421232229879,32,1
011421232229879,32,1
78011972598112101,32,1
75011972598112101,32,1
80011972598112101,32,1
009421232229879,32,1
48011972598112101,32,1
011970567709447,32,1
007421232229879,32,1
800421232229879,32,1
