sip_user_agent,events,unique_src
PBX,167901,8
FPBX,92299,1
pplsip,63586,19
VOIP,36345,28
SipClinte2019,12050,4
cisco,10089,4
Linksys-SPA942,6052,5
Cisco-SIPGateway,5575,3
NOT_FOUND,5005,173
Cisco-SIPGateway/IOS-12.x,4834,4
Z 3.14.38765 rv2.8.3,4194,1
FPBX-15.0.17,1728,1
friendly-scanner,994,78
SJphone/1.65.377,865,21
Yealink SIP-T46S 66.85.0.20,852,21
Asterisk PBX 16.28.0,844,20
Vonage-VoIP-Gateway/2.6,844,19
Genband C15 8.0,840,21
Panasonic KX-NCP1000 2.0,837,17
magicJack Plus 2.5.1,835,18
oSIP2/5.2.0,834,19
SIP Communicator 1.0,834,20
Aastra 6731i/3.3.1.1160,832,19
Ribbon SBC Edge 9.1,830,18
Toshiba IPedge 2.0,830,19
Grandstream UCM6304 1.0.20.35,829,18
NEC SV9100 R4,829,17
3CX Phone System 18.0,828,21
Verizon-VoIP-UA/1.0,827,21
TelKel 1.1,827,19
SofiaSIP/1.13.10,826,19
Groundwire 3.7.2,825,19
Polycom/5.9.9.0009 VVX 411,824,19
Broadsoft/23.0,822,20
Elastix 4.0,820,19
Asterisk PBX 18.9.0,817,24
PJSUA v2.13,817,19
Linphone/5.1.0 (belle-sip/5.1.0),815,21
Vodafone-SIP-UA/2.0,814,21
Mitel 6867 SIP 5.1.0.1013,813,20
Empia Telecom E.164,813,17
Grandstream GXP1610 1.0.4.17,813,20
Comcast-Xfinity-Voice/2.0,813,18
MagicJack/1.0,813,21
OBiHai OBi200 3.0.5,812,20
Yealink SIP-T31 67.85.0.5,809,16
Resiprocate/1.12.0,805,22
Bria Solo 6.9.0,805,17
Htek UC923 2.0.4.20,804,21
IP Communicator/8.6.4,804,19
Orange-SIP-Client/1.4,804,19
eXosip2/5.2.0,804,21
Kamailio (5.6.4 (x86_64/linux)),804,18
Blink 3.0.4,803,21
Polycom Trio 8500 UC 5.9.6AA,802,18
SIPp/3.6.1,801,22
Cisco-CP-8845/12.7.1,801,19
Ekiga/4.0.1,798,16
Huawei SoftX3000 V300R003,798,20
Cisco/SPA504G-7.6.2,797,22
Vonage Business/4.5,796,21
Interactive Intelligence CIC 4.0,795,17
AudioCodes Mediant 2000 v7.20A,795,20
Alcatel-Lucent OmniPCX Enterprise R12.1,794,19
Avaya CM-9.0.0,793,20
MicroSIP/3.20.5,793,18
Sonus SBC 5.1.6,792,17
FreeSWITCH-mod_sofia/1.10.9,792,20
ShoreTel IP230 v19,791,19
Zoiper rv2.10.19.6,790,20
FreePBX 16.0,790,17
Acrobits Softphone 5.4,790,17
Snom 320/8.7.5.32,789,20
Twinkle/1.10.2,788,20
Dialogic DMG2000 3.1,788,17
snom D735/10.1.100.15,787,21
Panasonic KX-HDV230/01.033,787,17
Jitsi2.10.5550,787,17
Cisco-SIPGateway/IOS-15.6.3.M,786,17
Zoiper5/5.5.11,786,20
Sylantro Systems SIP Server v3.0,786,18
T-Mobile IMS Client 3.2,785,18
OpenSIPS (3.3.6 (x86_64/linux)),783,18
Digium D40 1.4.0.11,782,16
PolycomSoundPointIP-SPIP_650-UA/4.0.13.1146,780,20
X-Lite 4 Release 4.9.5,780,19
Avaya IP Office 11.0,777,19
Oracle Communications SBC 8.4,776,16
Metaswitch Perimeta SBC 9.0,775,17
CSipSimple r1083,773,19
Zultys MX250 12.0,773,19
AT&T-CallManager/3.5,772,18
Ooma Telo 3.0.44,772,16
Nokia SIP Gateway 2.0,772,21
Grandstream GXP2170 1.0.9.36,771,17
Issabel PBX 4.0,771,19
Yealink SIP Server,771,18
Patton SmartNode SN4171 3.9.1,770,18
Linksys/SPA942-6.1.5,769,17
Mitel MiVoice 5000 1.0,768,20
Cisco CallManager 12.5,768,20
JAIN-SIP-1.3,765,19
AudioCodes 405HD MSL 3.4.5.13,765,17
Cisco/SPA303-7.6.2,762,19
Fanvil X6/2.11.0.10,761,18
RingCentral/20.5.0,761,17
PJSIP 2.13,761,18
Bria 6.1.4,756,21
Cisco/CP-7965G-9.4.2SR3,753,17
Vega VoIP Gateway 60/6.0,751,18
NIST SIP Stack 1.2,749,19
Yealink SIP-T21P E2 34.84.0.5,748,16
Nortel-CS1000/7.65,741,17
SylkServer-5.2.0,596,1
PowerSIP Gateway v0.1,249,1
Asterisk PBX 13.1.0,248,1
FXS_GW (3504a_114_0225.bin),232,1
Aastra 400,225,5
eyeBeam release 1003s stamp 31120,192,2
3CXPhoneSystem 15.5.15502.6 (15502),159,6
MERA MVTS3G v.4.3.0-40,159,2
,99,26
sip_zoz/2.0,95,1
FRITZ!OS,82,3
STARFACE PBX,79,4
kamailio (5.3.2 (x86_64/linux)),78,4
Cisco UCM 12.0.1,77,2
Linksys/SPA2102-3.2.8(d),74,1
Privat,66,2
Audiocodes-Sip-Gateway-Mediant 1000 - MSBG/v.6.40A.019.008,64,1
CommuniGatePro/6.0.10,62,1
Streamco Smartswitch,61,4
Mitel-5340-IP-Phone/06.05.00.12,54,5
Cisco,42,2
Vicidial,36,3
X-Lite release 1104o stamp 56125,35,2
Cisco-SIPGateway/IOS-15.x,33,4
Avaya One-X Deskphone/6.6.5,33,2
AVM FRITZ!Box 7330 107.05.50 (Feb 22 2013),33,5
Fanvil X4 2.10.2.6887,31,2
VaxSIPUserAgent/3.5,30,1
PolycomSoundPointIP-SPIP_450-UA/3.3.4.0095,30,10
23ddwa,30,15
PhonerLite/2.98,29,3
Zoiper for Windows 5.5.12,29,2
MizuPhone,29,1
Aastra 6757i/3.2.2.1136,28,3
3CXPhone 16.0.1.81,26,1
Gigaset N510 IP PRO/42.250,26,2
FortiVoice FVE-100/6.4.5,26,3
SoundPoint IP 550/4.1.1,24,2
Softphone/2.1.4.0,24,2
Jabra Speak 510/2.7.0,22,1
MicroSIP/3.21.3,22,4
eyeBeam release 3006o stamp 17551,21,3
GXP1625/1.0.4.50,21,2
CS500-USB/0.0.0.0,21,1
Linksys/SPA2102-3.3.6,20,3
Bria Professional release 2.5.4,20,2
Panasonic KX-UT136/01.032,20,2
Snom320/8.7.5.35,20,3
Cisco/SPA122-1.3.5(004p)_BestGo,19,3
VVX 410/5.9.4.3247,19,1
Grandstream GXP2160 1.0.11.35,19,1
Adatis-SIP/6.008,19,3
FPBX-15.0.16.75(16.13.0),18,5
AudioCodes-440HD/2.2.16.156,18,2
FPBX-14.0.17(13.21.1),18,4
Linphone/4.4.1 (belle-sip/1.6.3),18,1
Pulsar 360-16.0.47(16.30.0),18,3
Linksys/SPA1001-3.1.19(SE),18,4
kamailio (6.0.2 (x86_64/linux)),18,5
Yeastar S100-30.14.0.161,18,5
Gigaset A540IP A540IP 42.247.01.000.000 7C2F80EEEB7B,17,4
Asterisk PBX 20.18.2,17,4
Grandstream HT-502  V2.0A 1.0.9.1  chip V2.2,17,3
Telsam IP PBX 2.1.8,17,3
sip.dickenscheid.net,17,4
Fanvil X301 2.12.5.10_132_64 0c383e5296c3,17,3
Asterisk PBX 20.1.0,17,5
FPBX-16.0.45(16.27.0),16,5
Yealink SIP-T46G 28.81.0.110,16,3
FPBX-17.0.24(20.17.0),16,3
MP-114 FXS/v.6.60A.350.001,16,3
Asterisk PBX 22.5.1,16,2
OLMETEX SPA/v.7.20A.250.256,16,3
V10.00.923SN01,16,3
Nice Server,16,4
portasipfriendly,16,3
FlowIQ,16,6
Asterisk PBX 16.28.0~dfsg-0+deb11u8,16,4
Grandstream UCM6102V1.6A 1.0.9.25,16,4
KalliopePBX/4.17.10,16,4
FPBX-14.0.5.25(15.4.0),16,3
TANDBERG/4145 (X15.2.3),16,4
Gigaset N870 IP PRO/83.V2.62.1+build.d1d6a22;589EC6674A50,15,4
IncrediblePBX-17.0.19.28(19.0),15,5
Grandstream HT702 1.0.10.3,15,4
OXO022/042.001 GW_022/058.001,15,3
FPBX-2.11.0(11.25.0),15,2
IPPBX IPPBXSE,15,5
trunk1102.viptel.dk,15,4
Cisco/SPA303-7.4.9c,15,4
PolycomVVX-VVX_400-UA/5.9.7.3480,15,4
SBCS,15,4
PolycomSoundPointIP-SPIP_335-UA/4.0.1,15,1
Grandstream UCM6301V1.2C 1.0.19.10,15,3
kamailio (5.7.5 (x86_64/linux)),15,3
2N IP Verso 2.36.0.48.2,15,5
Grandstream UCM6202V1.5B 1.0.20.30,15,4
Grandstream UCM6301V1.3A 1.0.29.19,15,4
Grandstream UCM6301V1.3A 1.0.29.21,15,5
FPBX-15.0.38(18.5.0),15,4
Asterisk PBX 18.26.4,15,4
Ars_Soft_v2020-PRODUCTION.340,15,3
OXO022/017.001 GW_022/017.001,15,5
Sphairon-SL5501-4.38.2.06.05,15,6
SIP-T21P_E2/34.80.0.40,15,2
Grandstream UCM6208V1.4B 1.0.20.38,15,4
Dahua UAC/3.0 VTO2211G-WP V4.500.0.0,15,3
Grandstream UCM6208V1.6A 1.0.20.49,15,4
ADTRAN_Total_Access_352/J74.00.0014.G2,14,4
dble,14,4
IPBX-2.11.0.49(16.21.1),14,3
Thomson TG784n Build 8.4.H.F,14,3
Fanvil X303 2.12.18.9 0c383e63ccb7,14,2
FreeSWITCH-mod_sofia/1.10.5-release~64bit,14,2
OpenSIPS (1.6.4-2-notls (/linux)),14,3
F660/V2.20.20P6T4S,14,4
UCPBX,14,4
UCX-6.0(13.38.3),14,3
IceWarp SIP 12.1.1.3 x64,14,4
Asterisk PBX 16.28.0~dfsg-0+deb11u10,14,4
Asterisk PBX 16.8.0,14,3
A540IP/42.238.00.000.000,14,2
Thomson TG784n Build 10.2.1.D,14,4
Webitel,14,1
Fanvil X5U-V2 2.12.16.17 0c383e58768c,14,3
CALIX 844G-2/12.2.10.2.3,14,3
sip phone (SIP-std-R11448),14,3
FPBX-17.0.28(21.12.0),14,2
MATRIX SARVAM UCS SME V1R6.5.0,14,4
Sphairon-SL6501-4.38.2.1.2,14,4
FPBX-15.0.38(16.25.0),14,4
LiveGBS v250307,14,3
Native Infinity,14,4
YouHua,14,4
Grandstream UCM6202V1.5B 1.0.20.53,14,2
Yeastar S412-30.10.0.75,14,3
Z 5.6.4 v2.10.20.4,14,14
Yealink SIP-T33G 124.86.25.8,14,3
Asterisk PBX 21.3.1,14,3
TA400 41.19.0.32,14,4
FPBX-15.0.37.9(13.38.2),14,4
ADTRAN_Total_Access_908e_2nd_Gen/R11.4.4.E,14,3
ClearlyIP-17.0.28(22.6.0),14,3
FPBX-15.0.37.9(16.24.1),14,4
Linksys/SPA2102-5.2.10,14,4
Swyx IpPbxSrv/10.30.0.278,14,3
