date,Attempted Administrator Privilege Gain,Attempted Denial of Service,Attempted Information Leak,Detection of a Network Scan,Generic Protocol Command Decode,Misc activity,Not Suspicious Traffic,Potentially Bad Traffic,Web Application Attack
2026-08-26,1,0,0,82,10143,161,15,0,0
2026-08-27,0,0,0,51,7847,433,23,5,0
2026-08-28,2,0,0,60,17739,292,12,1,0
2026-08-29,1,0,0,61,18780,298,26,2,0
2026-08-30,0,0,0,58,36941,346,333,8,0
2026-08-31,4,0,0,56,27408,642,777,2,0
2026-09-01,0,0,0,67,14029,699,452,6,0
2026-09-02,3,0,0,75,19972,597,35,5,0
2026-09-03,2,0,1,85,14997,424,447,1,0
2026-09-04,0,0,0,76,15514,455,438,8,0
2026-09-05,46,0,1,68,15881,610,854,4,0
2026-09-06,3,0,0,68,26016,600,515,1,1
2026-09-07,2,0,0,58,12850,633,588,1,0
2026-09-08,3,0,0,61,23410,516,480,6,0
2026-09-09,3,0,0,104,30302,988,37,0,2
2026-09-10,2,453,0,57,33240,692,1022,1,0
2026-09-11,3,0,0,70,24924,755,483,4,0
2026-09-12,3,0,0,67,43609,566,1178,0,0
2026-09-13,2,0,0,82,30754,845,390,2,0
2026-09-14,1,0,0,89,36868,844,61,3,0
2026-09-15,0,0,0,55,15384,782,37,0,0
