signature,count,unique_src,sig_id,severity,category
SURICATA AF-PACKET truncated packet,122179,0,2200122,3,Generic Protocol Command Decode
SURICATA IPv4 truncated packet,122179,0,2200003,3,Generic Protocol Command Decode
SURICATA RFB Unexpected State in Parser,56243,57,2233003,3,Generic Protocol Command Decode
SURICATA STREAM Packet with broken ack,47935,2437,2210051,3,Generic Protocol Command Decode
SURICATA STREAM spurious retransmission,37437,2338,2210061,3,Generic Protocol Command Decode
SURICATA STREAM CLOSEWAIT FIN out of window,18330,307,2210016,3,Generic Protocol Command Decode
SURICATA STREAM FIN recv but no session,17808,93,2210037,3,Generic Protocol Command Decode
SURICATA HTTP Response excessive header repetition,11902,1,2221036,3,Generic Protocol Command Decode
ET INFO SSH session in progress on Expected Port,8204,1126,2001978,3,Misc activity
ET INFO Potentially unsafe SMBv1 protocol in use,8203,560,2023997,3,Not Suspicious Traffic
SURICATA STREAM reassembly sequence GAP -- missing packet(s),8031,16,2210048,3,Generic Protocol Command Decode
SURICATA STREAM Packet with invalid timestamp,7757,81,2210044,3,Generic Protocol Command Decode
SURICATA Applayer Detect protocol only one direction,6100,1429,2260002,3,Generic Protocol Command Decode
SURICATA SSH invalid banner,4656,80,2228000,3,Generic Protocol Command Decode
SURICATA Applayer Mismatch protocol both directions,3191,843,2260000,3,Generic Protocol Command Decode
ET INFO SSH session in progress on Unusual Port,2927,1277,2001984,3,Misc activity
SURICATA Applayer Wrong direction first Data,2862,541,2260001,3,Generic Protocol Command Decode
SURICATA TLS invalid record type,2329,488,2230002,3,Generic Protocol Command Decode
SURICATA STREAM RST recv but no session,1497,69,2210041,3,Generic Protocol Command Decode
ET SCAN Zmap User-Agent (Inbound),1444,825,2029054,3,Detection of a Network Scan
SURICATA HTTP Request excessive header repetition,1036,333,2221035,3,Generic Protocol Command Decode
SURICATA HTTP unable to match response to request,877,1,2221010,3,Generic Protocol Command Decode
GPL ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,832,44,2100486,3,Misc activity
SURICATA STREAM 3way handshake excessive different SYN/ACKs,722,1,2210055,3,Generic Protocol Command Decode
SURICATA STREAM ESTABLISHED SYN resend with different seq,638,139,2210027,3,Generic Protocol Command Decode
SURICATA STREAM 3way handshake SYN resend different seq on SYN recv,608,37,2210008,3,Generic Protocol Command Decode
GPL VOIP SIP INVITE message flooding,453,1,2100158,2,Attempted Denial of Service
SURICATA STREAM 3way handshake right seq wrong ack evasion,210,13,2210002,3,Generic Protocol Command Decode
SURICATA STREAM Packet with invalid ack,164,16,2210045,3,Generic Protocol Command Decode
GPL ICMP Destination Unreachable Communication Administratively Prohibited,151,10,2100485,3,Misc activity
SURICATA STREAM 3way handshake wrong seq wrong ack,138,11,2210010,3,Generic Protocol Command Decode
SURICATA SMB malformed request dialects,123,52,2225005,3,Generic Protocol Command Decode
SURICATA SMTP no server welcome message,108,1,2220006,3,Generic Protocol Command Decode
SURICATA HTTP missing Host header,107,94,2221014,3,Generic Protocol Command Decode
SURICATA STREAM SHUTDOWN RST invalid ack,101,5,2210046,3,Generic Protocol Command Decode
